OTU	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	Chloroplast	S01_RARE	S02_RARE	S03_RARE	S04_RARE	S05_RARE	S06_RARE	S07_RARE	S08_RARE	S09_RARE	S10_RARE	S01_ABUN	S02_ABUN	S03_ABUN	S04_ABUN	S05_ABUN	S06_ABUN	S07_ABUN	S08_ABUN	S09_ABUN	S10_ABUN	TOTAL_RARE	TOTAL_ABUN
77c503e5acd1e6341fbbf257b85a5b1f	95988	73539	95949	121482	84981	160272	134912	156861	74693	81483	0	0	0	0	0	0	0	0	0	0	0	95988	73539	95949	121482	84981	160272	134912	156861	74693	81483	0	1080160
6034deeccc1cfcd27ed0948953423c50	68039	62695	78151	104158	26254	111989	94612	68370	35710	33666	0	0	0	0	0	0	0	0	0	0	0	68039	62695	78151	104158	26254	111989	94612	68370	35710	33666	0	683644
5bdeb632038f3bfac786cab017119896	1625	11287	78750	1296	11345	832	9803	2683	435	508385	0	0	0	0	0	0	0	0	0	0	0	1625	11287	78750	1296	11345	832	9803	2683	435	508385	0	626441
c5eb78d3bac4b504c39bfc4b2ba69be1	75122	58040	39468	31338	18285	16980	22280	48129	22901	57148	0	0	0	0	0	0	0	0	0	0	0	75122	58040	39468	31338	18285	16980	22280	48129	22901	57148	0	389691
d71e95c2d8a9f1f04e0ae3935cf4b91d	23580	21996	55521	42979	23293	48631	58114	21682	13019	12168	0	0	0	0	0	0	0	0	0	0	0	23580	21996	55521	42979	23293	48631	58114	21682	13019	12168	0	320983
1708a6c1772ff898f5efc8d73e67d6b2	9754	10687	5935	11519	4084	7462	9441	110976	69012	51642	0	0	0	0	0	0	0	0	0	0	0	9754	10687	5935	11519	4084	7462	9441	110976	69012	51642	0	290512
5ab4a12cc8284f8bfffee486aff5b2bf	11759	28635	24454	3106	205816	10483	3255	1026	1577	99	0	0	0	0	0	0	0	0	0	0	0	11759	28635	24454	3106	205816	10483	3255	1026	1577	99	0	290210
4014c27d49591d3bdc86a3ed0949e13f	49	90	1132	228	185	731	506	93	0	238583	0	0	0	0	0	0	0	0	0	0	0	49	90	1132	228	185	731	506	93	0	238583	0	241597
3f5328fdf344911d014aeb7a5201bd92	59	150	605	118	173	164	154	346	0	215858	0	0	0	0	0	0	0	0	0	0	0	59	150	605	118	173	164	154	346	0	215858	0	217627
c2f9a82d811890014f7acbe8bd90835f	17184	25225	8628	20032	11716	7311	16933	66459	21699	16958	0	0	0	0	0	0	0	0	0	0	0	17184	25225	8628	20032	11716	7311	16933	66459	21699	16958	0	212145
