S01	S02	S03	S04	S06	S07
ASV	203081	83566	6001	175317	32599	18443
ASV_1	63379	24151	41173	33583	122131	173128
ASV_2	7023	23529	23150	43239	27664	15533
ASV_3	3113	6401	15965	8398	14816	13498
ASV_4	5543	7376	9283	3844	13043	8927
ASV_5	3681	3626	4768	1970	7869	5563
ASV_6	3337	3635	5280	2226	7476	4940
ASV_7	3168	3883	5076	2140	6492	5800
ASV_8	3398	3735	5470	2127	6657	5044
ASV_9	3121	2898	3534	1593	5051	4121
ASV_10	1915	2990	3791	1646	3861	4361
ASV_11	5088	5953	998	1564	558	659
ASV_12	571	2048	3113	941	4165	2322
ASV_13	738	657	3041	1942	3610	2808
ASV_14	1700	1344	2102	528	4234	1586
ASV_15	352	1769	2788	832	3046	2067
ASV_16	1358	1619	1791	1116	1916	1999
ASV_17	579	965	2805	959	1148	755
ASV_18	398	1363	1032	668	2678	641
ASV_19	227	1336	1393	459	2329	900
ASV_20	855	1582	1114	1536	807	671
ASV_21	179	599	3381	176	680	181
ASV_22	529	1566	829	481	844	485
ASV_23	702	1418	0	1250	202	135
ASV_24	1724	679	324	139	72	188
ASV_25	755	400	795	393	360	324
ASV_26	707	1263	313	189	0	0
ASV_27	0	0	542	1671	0	184
ASV_28	736	0	1620	19	0	0
ASV_29	435	554	32	280	668	261
ASV_30	0	1951	48	17	0	0
ASV_31	0	0	271	1433	0	244
ASV_32	383	167	146	112	433	656
ASV_33	189	409	315	181	168	230
ASV_34	425	292	129	80	339	206
ASV_35	388	107	9	216	355	367
ASV_36	300	388	281	171	72	171
ASV_37	0	591	0	230	54	495
ASV_38	96	68	32	217	618	338
ASV_39	398	41	212	264	150	94
ASV_40	156	89	373	166	248	121
ASV_41	172	194	139	226	241	173
ASV_42	163	263	176	71	287	141
ASV_43	450	288	151	0	81	0
ASV_44	59	185	196	122	183	206
ASV_45	386	225	0	335	0	0
ASV_46	401	189	0	355	0	0
ASV_47	92	72	402	120	160	98
ASV_48	402	200	0	318	0	0
ASV_49	413	418	0	58	0	0
ASV_50	332	206	0	241	0	97
ASV_51	41	684	81	8	38	14
ASV_52	130	0	36	160	221	277
ASV_53	141	243	208	104	49	66
ASV_54	372	344	49	0	0	0
ASV_55	533	199	0	8	0	22
ASV_56	179	316	138	77	34	0
ASV_57	325	126	6	77	135	72
ASV_58	594	0	0	126	0	0
ASV_59	316	0	378	20	0	6
ASV_60	37	46	116	92	270	145
ASV_61	186	177	67	26	154	90
ASV_62	186	395	66	53	0	0
ASV_63	94	0	98	68	89	313
ASV_64	404	0	173	26	33	0
ASV_65	282	92	0	180	37	43
ASV_66	217	267	115	0	23	0
ASV_67	60	345	140	0	51	24
ASV_68	109	0	125	63	56	249
ASV_69	231	68	22	6	213	61
ASV_70	215	210	58	0	60	48
ASV_71	115	153	73	63	111	75
ASV_72	185	275	20	0	100	9
ASV_73	0	289	0	144	0	153
ASV_74	315	0	0	266	0	0
ASV_75	299	0	0	280	0	0
ASV_76	19	202	0	33	156	156
ASV_77	0	0	257	0	308	0
ASV_78	325	0	0	231	0	0
ASV_79	171	59	0	37	170	111
ASV_80	0	0	0	407	0	125
ASV_81	213	87	0	170	51	0
ASV_82	43	472	0	0	0	0
ASV_83	471	0	0	36	0	0
ASV_84	280	76	50	79	0	0
ASV_85	117	65	94	33	156	19
ASV_86	128	170	0	15	106	63
ASV_87	126	159	0	83	82	30
ASV_88	74	0	26	47	0	325
ASV_89	42	294	0	15	94	22
ASV_90	82	95	0	77	85	124
ASV_91	62	0	396	0	0	0
ASV_92	117	234	63	17	6	12
ASV_93	32	68	0	0	163	182
ASV_94	193	0	42	0	101	94
ASV_95	79	0	18	62	51	215
ASV_96	256	0	0	0	84	81
ASV_97	45	197	0	47	68	64
ASV_98	381	0	0	35	0	0
ASV_99	72	52	65	89	45	86
ASV_100	64	19	178	65	0	74
ASV_101	28	93	151	18	107	0
ASV_102	0	0	45	64	123	158
ASV_103	0	33	0	0	212	137
ASV_104	181	147	0	0	41	0
ASV_105	41	0	180	83	19	37
ASV_106	66	20	91	14	43	125
ASV_107	0	133	0	0	0	224
ASV_108	0	106	87	0	120	42
ASV_109	0	77	72	0	119	85
ASV_110	0	0	350	0	0	0
ASV_111	0	120	102	26	62	39
ASV_112	38	115	100	26	46	22
ASV_113	0	20	9	27	231	53
ASV_114	0	0	337	0	0	0
ASV_115	0	12	60	37	224	0
ASV_116	65	39	98	51	32	45
ASV_117	65	103	0	0	0	155
ASV_118	41	32	0	58	66	126
ASV_119	49	0	70	56	62	85
ASV_120	62	45	202	0	0	12
ASV_121	61	43	0	71	91	55
ASV_122	0	0	0	69	85	166
ASV_123	28	67	0	32	51	140
ASV_124	16	34	0	62	150	54
ASV_125	33	8	0	42	96	136
ASV_126	49	19	27	92	73	54
