Site,PSC_total,SR_total,PD_total,SRp_total,PSC.rare,SR.rare,PSC.abund,SR.abund,PD.rare,SRp.rare,PD.abund,SRp.abund
S01,0.110609469006355,1763,544.704110838,1763,0.302364868338675,339,0.0486687455943244,499,290.491479109,339,44.159707723,499
S02,0.108637351894218,2401,789.807295235,2401,0.291496694063942,444,0.0605546995414086,678,368.430435905,444,84.442721865,678
S03,0.0906342710102689,1067,211.74568247,1067,0.275524245324916,240,0.054933351766195,296,156.204782526,240,20.064217031,296
S04,0.114085634347932,1563,500.787052177,1563,0.324333116593818,287,0.0522560171706846,445,259.828051329,287,40.627781889,445
S05,0.0780913633316564,1343,220.536104182,1343,0.245931139094202,309,0.0426251827469643,373,172.29998241,309,21.557526638,373
S06,0.115137934531186,2346,851.168951459,2346,0.302160163861753,357,0.0867075272662543,661,302.103389585,357,131.337332695,661
S07,0.115902329092216,2143,759.536174608,2143,0.305815568142843,384,0.0750974523807186,614,328.238371567,384,97.486818004,614
S08,0.0795571790872627,1198,205.987219397,1198,0.248291851291317,254,0.0462087107749581,332,139.839273365,254,22.798528314,332
S09,0.130626938475748,544,160.368925834,544,0.349271437106217,122,0.074906450809836,161,94.201286033,122,18.577281597,161
S10,0.135483495169422,831,283.017475142,831,0.334908466388806,181,0.0888833634419586,245,148.655355161,181,36.514783577,245
