Site,PSC_total,SR_total,PD_total,SRp_total,PSC.rare,SR.rare,PSC.abund,SR.abund,PD.rare,SRp.rare,PD.abund,SRp.abund
S01,-8.56988975149402,NA,-12.8757577468383,NA,4.3169404253429,NA,-24.9406990879219,NA,7.69246340290174,NA,-26.7267174819915,NA
S02,-1.65851634057076,NA,-5.48990947188055,NA,7.012927013896,NA,-26.7664728815369,NA,10.3404841630078,NA,-25.7456195497543,NA
S03,-20.0822210910758,NA,-26.0131380960615,NA,-1.46676731499386,NA,-18.5711401233911,NA,-1.56099876653005,NA,-19.5616220177713,NA
S04,-8.25374310790777,NA,-12.3182467390687,NA,4.76568428786712,NA,-25.6851981783285,NA,7.187719382599,NA,-23.2851721624572,NA
S05,-22.5964489588574,NA,-28.9585026987055,NA,-2.19531605926142,NA,-22.0358810877248,NA,-3.8501558960463,NA,-21.59732482563,NA
S06,1.33797341005044,NA,1.01984204304034,NA,4.69068599003583,NA,-24.7355016011896,NA,7.53696854197352,NA,-22.7499905897277,NA
S07,-1.53688878567739,NA,-2.98297882149306,NA,6.54525447685955,NA,-19.9989072755545,NA,8.70844645517994,NA,-23.3761470446233,NA
S08,-23.489128921853,NA,-25.1053557783119,NA,-2.45887517229732,NA,-20.965442121873,NA,-3.69290444126789,NA,-18.9518050000723,NA
S09,-12.7366044715251,NA,-14.7979972070327,NA,0.271292539200565,NA,-16.0757519004013,NA,-0.562175926818328,NA,-15.0095059423332,NA
S10,-11.6037510978587,NA,-13.6305786086591,NA,1.47595529335201,NA,-15.6278984618704,NA,1.46403368480243,NA,-15.5961106797458,NA
